"","gene_id","source","gene_version","gene_name","gene_biotype","phase"
"ENSMUSG00000000346","ENSMUSG00000000346","ensembl","8","Dazap2","protein_coding",NA
"ENSMUSG00000000355","ENSMUSG00000000355","ensembl_havana","13","Mcts1","protein_coding",NA
"ENSMUSG00000000359","ENSMUSG00000000359","ensembl_havana","3","Rem1","protein_coding",NA
"ENSMUSG00000000365","ENSMUSG00000000365","ensembl","8","Rnf17","protein_coding",NA
"ENSMUSG00000000374","ENSMUSG00000000374","ensembl","7","Trappc10","protein_coding",NA
"ENSMUSG00000000378","ENSMUSG00000000378","ensembl_havana","15","Ccm2","protein_coding",NA
"ENSMUSG00000000381","ENSMUSG00000000381","ensembl_havana","10","Wap","protein_coding",NA
"ENSMUSG00000000384","ENSMUSG00000000384","ensembl_havana","15","Tbrg4","protein_coding",NA
"ENSMUSG00000000385","ENSMUSG00000000385","ensembl","7","Tmprss2","protein_coding",NA
"ENSMUSG00000000386","ENSMUSG00000000386","ensembl_havana","14","Mx1","protein_coding",NA
"ENSMUSG00000000392","ENSMUSG00000000392","ensembl_havana","17","Fap","protein_coding",NA
"ENSMUSG00000000394","ENSMUSG00000000394","ensembl_havana","15","Gcg","protein_coding",NA
"ENSMUSG00000000399","ENSMUSG00000000399","ensembl_havana","10","Ndufa9","protein_coding",NA
"ENSMUSG00000000402","ENSMUSG00000000402","ensembl_havana","2","Egfl6","protein_coding",NA
"ENSMUSG00000000409","ENSMUSG00000000409","ensembl_havana","14","Lck","protein_coding",NA
"ENSMUSG00000000411","ENSMUSG00000000411","ensembl_havana","7","Tssk3","protein_coding",NA
"ENSMUSG00000000416","ENSMUSG00000000416","ensembl_havana","16","Cttnbp2","protein_coding",NA
"ENSMUSG00000000420","ENSMUSG00000000420","ensembl_havana","15","Galnt1","protein_coding",NA
"ENSMUSG00000000435","ENSMUSG00000000435","ensembl","1","Myf5","protein_coding",NA
"ENSMUSG00000000439","ENSMUSG00000000439","ensembl_havana","9","Mkrn2","protein_coding",NA
"ENSMUSG00000000440","ENSMUSG00000000440","ensembl_havana","12","Pparg","protein_coding",NA
"ENSMUSG00000000441","ENSMUSG00000000441","ensembl_havana","17","Raf1","protein_coding",NA
"ENSMUSG00000000486","ENSMUSG00000000486","ensembl_havana","13","Sept1","protein_coding",NA
"ENSMUSG00000000489","ENSMUSG00000000489","ensembl","6","Pdgfb","protein_coding",NA
"ENSMUSG00000000530","ENSMUSG00000000530","ensembl_havana","16","Acvrl1","protein_coding",NA
"ENSMUSG00000000531","ENSMUSG00000000531","ensembl","4","Grasp","protein_coding",NA
"ENSMUSG00000000532","ENSMUSG00000000532","ensembl_havana","10","Acvr1b","protein_coding",NA
"ENSMUSG00000000538","ENSMUSG00000000538","ensembl_havana","18","Tom1l2","protein_coding",NA
"ENSMUSG00000000544","ENSMUSG00000000544","ensembl_havana","14","Gpa33","protein_coding",NA
"ENSMUSG00000000552","ENSMUSG00000000552","ensembl","9","Zfp385a","protein_coding",NA
"ENSMUSG00000000555","ENSMUSG00000000555","ensembl","6","Itga5","protein_coding",NA
"ENSMUSG00000000560","ENSMUSG00000000560","ensembl_havana","9","Gabra2","protein_coding",NA
"ENSMUSG00000000561","ENSMUSG00000000561","ensembl_havana","14","Wdr77","protein_coding",NA
"ENSMUSG00000000562","ENSMUSG00000000562","ensembl_havana","5","Adora3","protein_coding",NA
"ENSMUSG00000000563","ENSMUSG00000000563","ensembl_havana","17","Atp5f1","protein_coding",NA
"ENSMUSG00000000567","ENSMUSG00000000567","ensembl_havana","5","Sox9","protein_coding",NA
"ENSMUSG00000000568","ENSMUSG00000000568","ensembl_havana","15","Hnrnpd","protein_coding",NA
"ENSMUSG00000000579","ENSMUSG00000000579","ensembl_havana","14","Dynlt1c","protein_coding",NA
"ENSMUSG00000000581","ENSMUSG00000000581","ensembl_havana","8","C1d","protein_coding",NA
"ENSMUSG00000000594","ENSMUSG00000000594","ensembl_havana","7","Gm2a","protein_coding",NA
"ENSMUSG00000000600","ENSMUSG00000000600","ensembl_havana","15","Krit1","protein_coding",NA
"ENSMUSG00000000605","ENSMUSG00000000605","ensembl_havana","8","Clcn4","protein_coding",NA
"ENSMUSG00000000606","ENSMUSG00000000606","ensembl_havana","15","Vmn2r88","protein_coding",NA
"ENSMUSG00000000617","ENSMUSG00000000617","ensembl_havana","14","Grm6","protein_coding",NA
"ENSMUSG00000000627","ENSMUSG00000000627","ensembl_havana","15","Sema4f","protein_coding",NA
"ENSMUSG00000000628","ENSMUSG00000000628","ensembl_havana","10","Hk2","protein_coding",NA
"ENSMUSG00000000631","ENSMUSG00000000631","ensembl_havana","20","Myo18a","protein_coding",NA
"ENSMUSG00000000632","ENSMUSG00000000632","ensembl_havana","13","Sez6","protein_coding",NA
"ENSMUSG00000000673","ENSMUSG00000000673","ensembl","8","Haao","protein_coding",NA
"ENSMUSG00000000682","ENSMUSG00000000682","ensembl_havana","7","Cd52","protein_coding",NA
"ENSMUSG00000000686","ENSMUSG00000000686","ensembl_havana","11","Abhd15","protein_coding",NA
"ENSMUSG00000000690","ENSMUSG00000000690","ensembl_havana","5","Hoxb6","protein_coding",NA
