"","gene_id","source","gene_version","gene_name","gene_biotype","phase"
"ENSMUSG00000018656","ENSMUSG00000018656","ensembl_havana","5","Tcaf3","protein_coding",NA
"ENSMUSG00000018659","ENSMUSG00000018659","ensembl_havana","12","Pnpo","protein_coding",NA
"ENSMUSG00000018661","ENSMUSG00000018661","ensembl_havana","17","Cog1","protein_coding",NA
"ENSMUSG00000018666","ENSMUSG00000018666","ensembl_havana","13","Cbx1","protein_coding",NA
"ENSMUSG00000018669","ENSMUSG00000018669","ensembl_havana","14","Cdk5rap3","protein_coding",NA
"ENSMUSG00000018672","ENSMUSG00000018672","ensembl_havana","15","Copz2","protein_coding",NA
"ENSMUSG00000018677","ENSMUSG00000018677","ensembl_havana","9","Slc25a39","protein_coding",NA
"ENSMUSG00000018678","ENSMUSG00000018678","ensembl_havana","12","Sp2","protein_coding",NA
"ENSMUSG00000018697","ENSMUSG00000018697","ensembl_havana","14","Aatf","protein_coding",NA
"ENSMUSG00000018698","ENSMUSG00000018698","ensembl_havana","15","Lhx1","protein_coding",NA
"ENSMUSG00000018707","ENSMUSG00000018707","ensembl_havana","13","Dync1h1","protein_coding",NA
"ENSMUSG00000018727","ENSMUSG00000018727","ensembl_havana","19","Cpsf4l","protein_coding",NA
"ENSMUSG00000018733","ENSMUSG00000018733","ensembl_havana","10","Pex12","protein_coding",NA
"ENSMUSG00000018736","ENSMUSG00000018736","ensembl_havana","14","Ndel1","protein_coding",NA
"ENSMUSG00000018740","ENSMUSG00000018740","ensembl_havana","14","Slc25a35","protein_coding",NA
"ENSMUSG00000018750","ENSMUSG00000018750","ensembl_havana","14","Zbtb4","protein_coding",NA
"ENSMUSG00000018752","ENSMUSG00000018752","ensembl_havana","19","Tnfsfm13","protein_coding",NA
"ENSMUSG00000018761","ENSMUSG00000018761","ensembl_havana","14","Mpdu1","protein_coding",NA
"ENSMUSG00000018765","ENSMUSG00000018765","ensembl_havana","5","Fxr2","protein_coding",NA
"ENSMUSG00000018770","ENSMUSG00000018770","ensembl_havana","9","Atp5g3","protein_coding",NA
"ENSMUSG00000018774","ENSMUSG00000018774","ensembl_havana","13","Cd68","protein_coding",NA
"ENSMUSG00000018776","ENSMUSG00000018776","ensembl_havana","9","Slc35g3","protein_coding",NA
"ENSMUSG00000018796","ENSMUSG00000018796","ensembl_havana","12","Acsl1","protein_coding",NA
"ENSMUSG00000018800","ENSMUSG00000018800","ensembl_havana","14","Abca5","protein_coding",NA
"ENSMUSG00000018809","ENSMUSG00000018809","ensembl_havana","2","Smyd4","protein_coding",NA
"ENSMUSG00000018819","ENSMUSG00000018819","ensembl_havana","10","Lsp1","protein_coding",NA
"ENSMUSG00000018820","ENSMUSG00000018820","ensembl_havana","13","Zfyve27","protein_coding",NA
"ENSMUSG00000018821","ENSMUSG00000018821","ensembl_havana","3","Avpi1","protein_coding",NA
"ENSMUSG00000018822","ENSMUSG00000018822","ensembl_havana","7","Sfrp5","protein_coding",NA
"ENSMUSG00000018830","ENSMUSG00000018830","ensembl","8","Myh11","protein_coding",NA
"ENSMUSG00000018841","ENSMUSG00000018841","ensembl_havana","17","Rad51d","protein_coding",NA
"ENSMUSG00000018844","ENSMUSG00000018844","ensembl_havana","6","Fndc8","protein_coding",NA
"ENSMUSG00000018845","ENSMUSG00000018845","ensembl_havana","14","Unc45b","protein_coding",NA
"ENSMUSG00000018846","ENSMUSG00000018846","ensembl_havana","8","Pank3","protein_coding",NA
"ENSMUSG00000018848","ENSMUSG00000018848","ensembl_havana","4","Rars","protein_coding",NA
"ENSMUSG00000018849","ENSMUSG00000018849","ensembl_havana","6","Wwc1","protein_coding",NA
"ENSMUSG00000018858","ENSMUSG00000018858","ensembl_havana","15","Ict1","protein_coding",NA
"ENSMUSG00000018861","ENSMUSG00000018861","ensembl_havana","8","Fdxr","protein_coding",NA
"ENSMUSG00000018862","ENSMUSG00000018862","ensembl_havana","11","Otop3","protein_coding",NA
"ENSMUSG00000018865","ENSMUSG00000018865","ensembl","8","Sult4a1","protein_coding",NA
"ENSMUSG00000018868","ENSMUSG00000018868","ensembl","3","Pnpla5","protein_coding",NA
"ENSMUSG00000018882","ENSMUSG00000018882","ensembl_havana","12","Mrpl45","protein_coding",NA
"ENSMUSG00000018893","ENSMUSG00000018893","ensembl","14","Mb","protein_coding",NA
"ENSMUSG00000018899","ENSMUSG00000018899","ensembl_havana","16","Irf1","protein_coding",NA
"ENSMUSG00000018900","ENSMUSG00000018900","ensembl_havana","7","Slc22a5","protein_coding",NA
"ENSMUSG00000018906","ENSMUSG00000018906","ensembl_havana","14","P4ha2","protein_coding",NA
"ENSMUSG00000018907","ENSMUSG00000018907","ensembl_havana","10","Alox12e","protein_coding",NA
"ENSMUSG00000018909","ENSMUSG00000018909","ensembl_havana","15","Arrb1","protein_coding",NA
"ENSMUSG00000018914","ENSMUSG00000018914","ensembl_havana","5","Il3","protein_coding",NA
"ENSMUSG00000018916","ENSMUSG00000018916","ensembl_havana","5","Csf2","protein_coding",NA
"ENSMUSG00000018919","ENSMUSG00000018919","ensembl_havana","10","Tm4sf5","protein_coding",NA
"ENSMUSG00000018920","ENSMUSG00000018920","ensembl_havana","11","Cxcl16","protein_coding",NA
"ENSMUSG00000018921","ENSMUSG00000018921","ensembl_havana","11","Pelp1","protein_coding",NA
"ENSMUSG00000018923","ENSMUSG00000018923","ensembl_havana","13","Med11","protein_coding",NA
"ENSMUSG00000018924","ENSMUSG00000018924","ensembl_havana","6","Alox15","protein_coding",NA
"ENSMUSG00000018925","ENSMUSG00000018925","ensembl_havana","3","Heatr9","protein_coding",NA
"ENSMUSG00000018927","ENSMUSG00000018927","ensembl_havana","3","Ccl6","protein_coding",NA
"ENSMUSG00000018930","ENSMUSG00000018930","ensembl_havana","3","Ccl4","protein_coding",NA
"ENSMUSG00000018931","ENSMUSG00000018931","ensembl_havana","3","Natd1","protein_coding",NA
"ENSMUSG00000018932","ENSMUSG00000018932","ensembl_havana","9","Map2k3","protein_coding",NA
"ENSMUSG00000018965","ENSMUSG00000018965","ensembl_havana","11","Ywhah","protein_coding",NA
"ENSMUSG00000018973","ENSMUSG00000018973","ensembl_havana","2","Hoxb1","protein_coding",NA
"ENSMUSG00000018974","ENSMUSG00000018974","ensembl_havana","7","Sart3","protein_coding",NA
"ENSMUSG00000018983","ENSMUSG00000018983","ensembl_havana","9","E2f2","protein_coding",NA
"ENSMUSG00000018986","ENSMUSG00000018986","ensembl_havana","9","Slfn3","protein_coding",NA
"ENSMUSG00000018995","ENSMUSG00000018995","ensembl_havana","12","Nars2","protein_coding",NA
"ENSMUSG00000018999","ENSMUSG00000018999","ensembl_havana","14","Slc35b4","protein_coding",NA
"ENSMUSG00000019027","ENSMUSG00000019027","ensembl","7","Dnah1","protein_coding",NA
"ENSMUSG00000019039","ENSMUSG00000019039","ensembl_havana","13","Dalrd3","protein_coding",NA
"ENSMUSG00000019054","ENSMUSG00000019054","ensembl_havana","13","Fis1","protein_coding",NA
"ENSMUSG00000019055","ENSMUSG00000019055","ensembl_havana","15","Plod1","protein_coding",NA
"ENSMUSG00000019066","ENSMUSG00000019066","ensembl_havana","13","Rab3d","protein_coding",NA
"ENSMUSG00000019080","ENSMUSG00000019080","ensembl","7","Mfsd3","protein_coding",NA
"ENSMUSG00000019082","ENSMUSG00000019082","ensembl_havana","18","Slc25a22","protein_coding",NA
"ENSMUSG00000019087","ENSMUSG00000019087","ensembl_havana","13","Atp6ap1","protein_coding",NA
"ENSMUSG00000019088","ENSMUSG00000019088","ensembl_havana","13","Dnase1l1","protein_coding",NA
"ENSMUSG00000019102","ENSMUSG00000019102","ensembl_havana","10","Aldh3a1","protein_coding",NA
"ENSMUSG00000019122","ENSMUSG00000019122","ensembl_havana","8","Ccl9","protein_coding",NA
"ENSMUSG00000019124","ENSMUSG00000019124","ensembl_havana","10","Scrn1","protein_coding",NA
"ENSMUSG00000019132","ENSMUSG00000019132","ensembl_havana","10","BC005537","protein_coding",NA
"ENSMUSG00000019139","ENSMUSG00000019139","ensembl","9","Isyna1","protein_coding",NA
"ENSMUSG00000019143","ENSMUSG00000019143","ensembl_havana","15","Hars2","protein_coding",NA
"ENSMUSG00000019146","ENSMUSG00000019146","ensembl_havana","2","Cacng2","protein_coding",NA
"ENSMUSG00000019158","ENSMUSG00000019158","ensembl","8","Tmem160","protein_coding",NA
"ENSMUSG00000019173","ENSMUSG00000019173","ensembl_havana","11","Rab5c","protein_coding",NA
"ENSMUSG00000019178","ENSMUSG00000019178","ensembl_havana","17","Styxl1","protein_coding",NA
"ENSMUSG00000019179","ENSMUSG00000019179","ensembl_havana","10","Mdh2","protein_coding",NA
"ENSMUSG00000019188","ENSMUSG00000019188","ensembl_havana","16","H13","protein_coding",NA
"ENSMUSG00000019189","ENSMUSG00000019189","ensembl_havana","13","Rnf145","protein_coding",NA
"ENSMUSG00000019194","ENSMUSG00000019194","ensembl","14","Scn1b","protein_coding",NA
"ENSMUSG00000019210","ENSMUSG00000019210","ensembl_havana","10","Atp6v1e1","protein_coding",NA
"ENSMUSG00000019214","ENSMUSG00000019214","ensembl_havana","13","Chtf18","protein_coding",NA
"ENSMUSG00000019230","ENSMUSG00000019230","ensembl_havana","14","Lhx9","protein_coding",NA
"ENSMUSG00000019232","ENSMUSG00000019232","ensembl_havana","14","Etnppl","protein_coding",NA
"ENSMUSG00000019235","ENSMUSG00000019235","ensembl","8","Rps6kl1","protein_coding",NA
"ENSMUSG00000019254","ENSMUSG00000019254","ensembl_havana","16","Ppp1r12c","protein_coding",NA
"ENSMUSG00000019256","ENSMUSG00000019256","ensembl_havana","17","Ahr","protein_coding",NA
"ENSMUSG00000019261","ENSMUSG00000019261","ensembl","2","Map1s","protein_coding",NA
"ENSMUSG00000019278","ENSMUSG00000019278","ensembl","4","Dpep1","protein_coding",NA
"ENSMUSG00000019295","ENSMUSG00000019295","ensembl_havana","8","Tmem129","protein_coding",NA
"ENSMUSG00000019297","ENSMUSG00000019297","ensembl_havana","8","Nop9","protein_coding",NA
"ENSMUSG00000019301","ENSMUSG00000019301","ensembl_havana","5","Hsd17b1","protein_coding",NA
"ENSMUSG00000019302","ENSMUSG00000019302","ensembl_havana","16","Atp6v0a1","protein_coding",NA
"ENSMUSG00000019303","ENSMUSG00000019303","ensembl_havana","14","Psmc3ip","protein_coding",NA
"ENSMUSG00000019312","ENSMUSG00000019312","ensembl_havana","10","Grb7","protein_coding",NA
"ENSMUSG00000019320","ENSMUSG00000019320","ensembl_havana","13","Noxo1","protein_coding",NA
"ENSMUSG00000019326","ENSMUSG00000019326","ensembl_havana","14","Aoc3","protein_coding",NA
"ENSMUSG00000019338","ENSMUSG00000019338","ensembl_havana","13","Zfp687","protein_coding",NA
"ENSMUSG00000019359","ENSMUSG00000019359","ensembl_havana","14","Gdpd2","protein_coding",NA
"ENSMUSG00000019362","ENSMUSG00000019362","ensembl","7","D8Ertd738e","protein_coding",NA
"ENSMUSG00000019368","ENSMUSG00000019368","ensembl_havana","13","Sec14l4","protein_coding",NA
"ENSMUSG00000019370","ENSMUSG00000019370","ensembl_havana","10","Calm3","protein_coding",NA
"ENSMUSG00000019373","ENSMUSG00000019373","ensembl_havana","11","Cops3","protein_coding",NA
"ENSMUSG00000019428","ENSMUSG00000019428","ensembl_havana","16","Fkbp8","protein_coding",NA
"ENSMUSG00000019429","ENSMUSG00000019429","ensembl_havana","7","Ffar3","protein_coding",NA
"ENSMUSG00000019432","ENSMUSG00000019432","ensembl_havana","15","Ddx39b","protein_coding",NA
"ENSMUSG00000019433","ENSMUSG00000019433","ensembl","8","Gipc1","protein_coding",NA
"ENSMUSG00000019437","ENSMUSG00000019437","ensembl_havana","17","Tlcd1","protein_coding",NA
"ENSMUSG00000019461","ENSMUSG00000019461","ensembl_havana","12","Plscr3","protein_coding",NA
"ENSMUSG00000019464","ENSMUSG00000019464","ensembl_havana","5","Ptger1","protein_coding",NA
"ENSMUSG00000019467","ENSMUSG00000019467","ensembl","13","Arhgef25","protein_coding",NA
"ENSMUSG00000019470","ENSMUSG00000019470","ensembl_havana","12","Xab2","protein_coding",NA
"ENSMUSG00000019471","ENSMUSG00000019471","ensembl","9","Cdc37","protein_coding",NA
"ENSMUSG00000019478","ENSMUSG00000019478","ensembl_havana","15","Rab4a","protein_coding",NA
"ENSMUSG00000019487","ENSMUSG00000019487","ensembl","10","Trip10","protein_coding",NA
"ENSMUSG00000019489","ENSMUSG00000019489","ensembl","7","Cd70","protein_coding",NA
"ENSMUSG00000019494","ENSMUSG00000019494","ensembl_havana","14","Cops6","protein_coding",NA
"ENSMUSG00000019505","ENSMUSG00000019505","ensembl_havana","7","Ubb","protein_coding",NA
"ENSMUSG00000019518","ENSMUSG00000019518","ensembl_havana","10","Ap4m1","protein_coding",NA
"ENSMUSG00000019528","ENSMUSG00000019528","ensembl_havana","18","Gyg","protein_coding",NA
"ENSMUSG00000019539","ENSMUSG00000019539","ensembl","10","Rcn3","protein_coding",NA
"ENSMUSG00000019558","ENSMUSG00000019558","ensembl_havana","14","Slc6a8","protein_coding",NA
"ENSMUSG00000019564","ENSMUSG00000019564","ensembl_havana","12","Arid3a","protein_coding",NA
"ENSMUSG00000019577","ENSMUSG00000019577","ensembl_havana","6","Pdk4","protein_coding",NA
"ENSMUSG00000019578","ENSMUSG00000019578","ensembl_havana","11","Ubxn6","protein_coding",NA
"ENSMUSG00000019579","ENSMUSG00000019579","ensembl_havana","13","Mydgf","protein_coding",NA
"ENSMUSG00000019590","ENSMUSG00000019590","ensembl_havana","16","Cyb561","protein_coding",NA
"ENSMUSG00000019647","ENSMUSG00000019647","ensembl_havana","16","Sema6a","protein_coding",NA
"ENSMUSG00000019659","ENSMUSG00000019659","ensembl_havana","8","Ccdc12","protein_coding",NA
"ENSMUSG00000019689","ENSMUSG00000019689","ensembl_havana","4","1110001J03Rik","protein_coding",NA
"ENSMUSG00000019699","ENSMUSG00000019699","ensembl_havana","15","Akt3","protein_coding",NA
"ENSMUSG00000019710","ENSMUSG00000019710","ensembl_havana","13","Mrpl24","protein_coding",NA
"ENSMUSG00000019715","ENSMUSG00000019715","ensembl_havana","14","Gle1","protein_coding",NA
"ENSMUSG00000019718","ENSMUSG00000019718","ensembl_havana","8","L3hypdh","protein_coding",NA
"ENSMUSG00000019726","ENSMUSG00000019726","ensembl","10","Lyst","protein_coding",NA
"ENSMUSG00000019731","ENSMUSG00000019731","ensembl_havana","13","Slc35e1","protein_coding",NA
"ENSMUSG00000019732","ENSMUSG00000019732","ensembl_havana","14","Calr3","protein_coding",NA
"ENSMUSG00000019734","ENSMUSG00000019734","ensembl_havana","16","Tmc4","protein_coding",NA
"ENSMUSG00000019737","ENSMUSG00000019737","ensembl_havana","14","Syne4","protein_coding",NA
"ENSMUSG00000019738","ENSMUSG00000019738","ensembl_havana","15","Polr2i","protein_coding",NA
"ENSMUSG00000019756","ENSMUSG00000019756","ensembl_havana","10","Prl8a1","protein_coding",NA
"ENSMUSG00000019761","ENSMUSG00000019761","ensembl_havana","9","Krt10","protein_coding",NA
"ENSMUSG00000019762","ENSMUSG00000019762","ensembl_havana","4","Iyd","protein_coding",NA
"ENSMUSG00000019763","ENSMUSG00000019763","ensembl_havana","11","Rmnd1","protein_coding",NA
"ENSMUSG00000019767","ENSMUSG00000019767","ensembl_havana","12","Ccdc170","protein_coding",NA
"ENSMUSG00000019768","ENSMUSG00000019768","ensembl_havana","16","Esr1","protein_coding",NA
"ENSMUSG00000019772","ENSMUSG00000019772","ensembl","4","Vip","protein_coding",NA
"ENSMUSG00000019773","ENSMUSG00000019773","ensembl_havana","7","Fbxo5","protein_coding",NA
"ENSMUSG00000019774","ENSMUSG00000019774","ensembl_havana","8","Mtrf1l","protein_coding",NA
"ENSMUSG00000019775","ENSMUSG00000019775","ensembl_havana","17","Rgs17","protein_coding",NA
"ENSMUSG00000019777","ENSMUSG00000019777","ensembl_havana","16","Hdac2","protein_coding",NA
"ENSMUSG00000019779","ENSMUSG00000019779","ensembl","14","Frk","protein_coding",NA
"ENSMUSG00000019782","ENSMUSG00000019782","ensembl_havana","9","Rwdd1","protein_coding",NA
"ENSMUSG00000019785","ENSMUSG00000019785","ensembl_havana","13","Clvs2","protein_coding",NA
"ENSMUSG00000019787","ENSMUSG00000019787","ensembl","8","Trdn","protein_coding",NA
"ENSMUSG00000019789","ENSMUSG00000019789","ensembl_havana","8","Hey2","protein_coding",NA
"ENSMUSG00000019790","ENSMUSG00000019790","ensembl_havana","16","Stxbp5","protein_coding",NA
"ENSMUSG00000019791","ENSMUSG00000019791","ensembl_havana","11","Hint3","protein_coding",NA
"ENSMUSG00000019792","ENSMUSG00000019792","ensembl","7","Trmt11","protein_coding",NA
"ENSMUSG00000019794","ENSMUSG00000019794","ensembl_havana","13","Katna1","protein_coding",NA
"ENSMUSG00000019795","ENSMUSG00000019795","ensembl_havana","17","Pcmt1","protein_coding",NA
"ENSMUSG00000019796","ENSMUSG00000019796","ensembl_havana","12","Lrp11","protein_coding",NA
"ENSMUSG00000019797","ENSMUSG00000019797","ensembl_havana","10","1700021F05Rik","protein_coding",NA
"ENSMUSG00000019802","ENSMUSG00000019802","ensembl_havana","13","Sec63","protein_coding",NA
"ENSMUSG00000019803","ENSMUSG00000019803","ensembl_havana","11","Nr2e1","protein_coding",NA
"ENSMUSG00000019804","ENSMUSG00000019804","ensembl_havana","12","Snx3","protein_coding",NA
"ENSMUSG00000019806","ENSMUSG00000019806","ensembl_havana","13","Aig1","protein_coding",NA
"ENSMUSG00000019808","ENSMUSG00000019808","ensembl_havana","8","Adat2","protein_coding",NA
"ENSMUSG00000019809","ENSMUSG00000019809","ensembl_havana","16","Pex3","protein_coding",NA
"ENSMUSG00000019810","ENSMUSG00000019810","ensembl_havana","15","Fuca2","protein_coding",NA
"ENSMUSG00000019813","ENSMUSG00000019813","ensembl_havana","15","Cep57l1","protein_coding",NA
"ENSMUSG00000019814","ENSMUSG00000019814","ensembl","4","Ltv1","protein_coding",NA
"ENSMUSG00000019815","ENSMUSG00000019815","ensembl","6","Zc2hc1b","protein_coding",NA
"ENSMUSG00000019817","ENSMUSG00000019817","ensembl_havana","18","Plagl1","protein_coding",NA
"ENSMUSG00000019818","ENSMUSG00000019818","ensembl_havana","15","Cd164","protein_coding",NA
"ENSMUSG00000019820","ENSMUSG00000019820","ensembl","9","Utrn","protein_coding",NA
"ENSMUSG00000019822","ENSMUSG00000019822","ensembl_havana","12","Smpd2","protein_coding",NA
"ENSMUSG00000019823","ENSMUSG00000019823","ensembl_havana","17","Mical1","protein_coding",NA
"ENSMUSG00000019826","ENSMUSG00000019826","ensembl","10","Zbtb24","protein_coding",NA
"ENSMUSG00000019828","ENSMUSG00000019828","ensembl_havana","13","Grm1","protein_coding",NA
"ENSMUSG00000019831","ENSMUSG00000019831","ensembl_havana","14","Wasf1","protein_coding",NA
"ENSMUSG00000019832","ENSMUSG00000019832","ensembl_havana","3","Rab32","protein_coding",NA
"ENSMUSG00000019834","ENSMUSG00000019834","ensembl_havana","15","Slc22a16","protein_coding",NA
"ENSMUSG00000019836","ENSMUSG00000019836","havana","5","Amd-ps4","processed_pseudogene",NA
"ENSMUSG00000019837","ENSMUSG00000019837","ensembl","7","Gtf3c6","protein_coding",NA
"ENSMUSG00000019838","ENSMUSG00000019838","ensembl","10","Slc16a10","protein_coding",NA
"ENSMUSG00000019841","ENSMUSG00000019841","ensembl_havana","15","Rev3l","protein_coding",NA
"ENSMUSG00000019842","ENSMUSG00000019842","ensembl_havana","6","Traf3ip2","protein_coding",NA
"ENSMUSG00000019843","ENSMUSG00000019843","ensembl_havana","14","Fyn","protein_coding",NA
"ENSMUSG00000019845","ENSMUSG00000019845","ensembl","7","Tube1","protein_coding",NA
"ENSMUSG00000019846","ENSMUSG00000019846","ensembl_havana","11","Lama4","protein_coding",NA
"ENSMUSG00000019848","ENSMUSG00000019848","ensembl_havana","14","Popdc3","protein_coding",NA
"ENSMUSG00000019849","ENSMUSG00000019849","ensembl","10","Prep","protein_coding",NA
"ENSMUSG00000019850","ENSMUSG00000019850","ensembl_havana","11","Tnfaip3","protein_coding",NA
"ENSMUSG00000019851","ENSMUSG00000019851","ensembl","7","Perp","protein_coding",NA
"ENSMUSG00000019852","ENSMUSG00000019852","ensembl","6","Arfgef3","protein_coding",NA
"ENSMUSG00000019853","ENSMUSG00000019853","ensembl","5","Hebp2","protein_coding",NA
"ENSMUSG00000019854","ENSMUSG00000019854","ensembl_havana","16","Reps1","protein_coding",NA
"ENSMUSG00000019856","ENSMUSG00000019856","ensembl_havana","13","Fam184a","protein_coding",NA
"ENSMUSG00000019857","ENSMUSG00000019857","ensembl","6","Asf1a","protein_coding",NA
"ENSMUSG00000019861","ENSMUSG00000019861","ensembl","14","Gopc","protein_coding",NA
"ENSMUSG00000019863","ENSMUSG00000019863","ensembl_havana","6","Qrsl1","protein_coding",NA
"ENSMUSG00000019864","ENSMUSG00000019864","ensembl_havana","13","Rtn4ip1","protein_coding",NA
"ENSMUSG00000019865","ENSMUSG00000019865","ensembl_havana","9","Nmbr","protein_coding",NA
"ENSMUSG00000019866","ENSMUSG00000019866","ensembl_havana","13","Aim1","protein_coding",NA
"ENSMUSG00000019867","ENSMUSG00000019867","ensembl_havana","4","Gje1","protein_coding",NA
"ENSMUSG00000019868","ENSMUSG00000019868","ensembl_havana","16","Vta1","protein_coding",NA
"ENSMUSG00000019872","ENSMUSG00000019872","ensembl_havana","13","Smpdl3a","protein_coding",NA
"ENSMUSG00000019873","ENSMUSG00000019873","ensembl","7","Reep3","protein_coding",NA
"ENSMUSG00000019874","ENSMUSG00000019874","ensembl_havana","11","Fabp7","protein_coding",NA
"ENSMUSG00000019876","ENSMUSG00000019876","ensembl_havana","15","Pkib","protein_coding",NA
"ENSMUSG00000019877","ENSMUSG00000019877","ensembl_havana","10","Serinc1","protein_coding",NA
"ENSMUSG00000019878","ENSMUSG00000019878","ensembl","7","Hsf2","protein_coding",NA
"ENSMUSG00000019880","ENSMUSG00000019880","ensembl","9","Rspo3","protein_coding",NA
"ENSMUSG00000019883","ENSMUSG00000019883","ensembl_havana","10","Echdc1","protein_coding",NA
"ENSMUSG00000019888","ENSMUSG00000019888","ensembl_havana","15","Mgat4c","protein_coding",NA
"ENSMUSG00000019889","ENSMUSG00000019889","ensembl","9","Ptprk","protein_coding",NA
"ENSMUSG00000019890","ENSMUSG00000019890","ensembl","3","Nts","protein_coding",NA
"ENSMUSG00000019891","ENSMUSG00000019891","ensembl_havana","13","Dcbld1","protein_coding",NA
"ENSMUSG00000019892","ENSMUSG00000019892","ensembl_havana","12","Lrriq1","protein_coding",NA
"ENSMUSG00000019893","ENSMUSG00000019893","ensembl_havana","11","Ros1","protein_coding",NA
"ENSMUSG00000019894","ENSMUSG00000019894","ensembl","13","Slc6a15","protein_coding",NA
"ENSMUSG00000019897","ENSMUSG00000019897","ensembl_havana","8","Ccdc59","protein_coding",NA
"ENSMUSG00000019899","ENSMUSG00000019899","ensembl_havana","15","Lama2","protein_coding",NA
"ENSMUSG00000019900","ENSMUSG00000019900","ensembl_havana","17","Rfx6","protein_coding",NA
"ENSMUSG00000019905","ENSMUSG00000019905","ensembl","7","Gprc6a","protein_coding",NA
"ENSMUSG00000019906","ENSMUSG00000019906","ensembl","14","Lin7a","protein_coding",NA
"ENSMUSG00000019907","ENSMUSG00000019907","ensembl","9","Ppp1r12a","protein_coding",NA
"ENSMUSG00000019909","ENSMUSG00000019909","ensembl","3","Fam162b","protein_coding",NA
"ENSMUSG00000019913","ENSMUSG00000019913","ensembl","3","Sim1","protein_coding",NA
"ENSMUSG00000019916","ENSMUSG00000019916","ensembl_havana","14","P4ha1","protein_coding",NA
"ENSMUSG00000019917","ENSMUSG00000019917","ensembl","9","Sept10","protein_coding",NA
"ENSMUSG00000019920","ENSMUSG00000019920","ensembl_havana","17","Lims1","protein_coding",NA
"ENSMUSG00000019923","ENSMUSG00000019923","ensembl_havana","13","Zwint","protein_coding",NA
"ENSMUSG00000019927","ENSMUSG00000019927","ensembl_havana","6","Ube2d1","protein_coding",NA
"ENSMUSG00000019929","ENSMUSG00000019929","ensembl","15","Dcn","protein_coding",NA
"ENSMUSG00000019932","ENSMUSG00000019932","ensembl","7","Kera","protein_coding",NA
"ENSMUSG00000019933","ENSMUSG00000019933","ensembl_havana","7","Mrln","processed_transcript",NA
"ENSMUSG00000019935","ENSMUSG00000019935","ensembl_havana","16","Slc17a8","protein_coding",NA
"ENSMUSG00000019936","ENSMUSG00000019936","ensembl_havana","10","Epyc","protein_coding",NA
"ENSMUSG00000019942","ENSMUSG00000019942","ensembl_havana","12","Cdk1","protein_coding",NA
"ENSMUSG00000019943","ENSMUSG00000019943","ensembl","9","Atp2b1","protein_coding",NA
"ENSMUSG00000019944","ENSMUSG00000019944","ensembl_havana","14","Rhobtb1","protein_coding",NA
"ENSMUSG00000019945","ENSMUSG00000019945","ensembl_havana","9","1700040L02Rik","protein_coding",NA
"ENSMUSG00000019947","ENSMUSG00000019947","ensembl","9","Arid5b","protein_coding",NA
"ENSMUSG00000019948","ENSMUSG00000019948","ensembl","3","Actr6","protein_coding",NA
"ENSMUSG00000019951","ENSMUSG00000019951","ensembl","9","Uhrf1bp1l","protein_coding",NA
"ENSMUSG00000019952","ENSMUSG00000019952","ensembl_havana","14","Poc1b","protein_coding",NA
"ENSMUSG00000019960","ENSMUSG00000019960","ensembl","7","Dusp6","protein_coding",NA
"ENSMUSG00000019961","ENSMUSG00000019961","ensembl","16","Tmpo","protein_coding",NA
"ENSMUSG00000019966","ENSMUSG00000019966","ensembl_havana","17","Kitl","protein_coding",NA
"ENSMUSG00000019969","ENSMUSG00000019969","ensembl","13","Psen1","protein_coding",NA
"ENSMUSG00000019970","ENSMUSG00000019970","ensembl_havana","15","Sgk1","protein_coding",NA
"ENSMUSG00000019971","ENSMUSG00000019971","ensembl","9","Cep290","protein_coding",NA
"ENSMUSG00000019975","ENSMUSG00000019975","ensembl_havana","11","Ikbip","protein_coding",NA
"ENSMUSG00000019977","ENSMUSG00000019977","ensembl","15","Hbs1l","protein_coding",NA
"ENSMUSG00000019978","ENSMUSG00000019978","ensembl","15","Epb41l2","protein_coding",NA
"ENSMUSG00000019979","ENSMUSG00000019979","ensembl_havana","12","Apaf1","protein_coding",NA
"ENSMUSG00000019982","ENSMUSG00000019982","ensembl_havana","14","Myb","protein_coding",NA
"ENSMUSG00000019984","ENSMUSG00000019984","ensembl_havana","16","Med23","protein_coding",NA
"ENSMUSG00000019986","ENSMUSG00000019986","ensembl","16","Ahi1","protein_coding",NA
"ENSMUSG00000019987","ENSMUSG00000019987","ensembl","8","Arg1","protein_coding",NA
"ENSMUSG00000019988","ENSMUSG00000019988","ensembl","6","Nedd1","protein_coding",NA
"ENSMUSG00000019989","ENSMUSG00000019989","ensembl","7","Enpp3","protein_coding",NA
"ENSMUSG00000019990","ENSMUSG00000019990","ensembl_havana","14","Pde7b","protein_coding",NA
"ENSMUSG00000019992","ENSMUSG00000019992","ensembl","7","Mtfr2","protein_coding",NA
"ENSMUSG00000019996","ENSMUSG00000019996","ensembl","16","Map7","protein_coding",NA
"ENSMUSG00000019997","ENSMUSG00000019997","ensembl_havana","11","Ctgf","protein_coding",NA
"ENSMUSG00000019998","ENSMUSG00000019998","ensembl","5","Stx7","protein_coding",NA
"ENSMUSG00000020000","ENSMUSG00000020000","ensembl_havana","7","Moxd1","protein_coding",NA
"ENSMUSG00000020003","ENSMUSG00000020003","ensembl_havana","15","Pex7","protein_coding",NA
"ENSMUSG00000020007","ENSMUSG00000020007","ensembl","3","Il20ra","protein_coding",NA
"ENSMUSG00000020009","ENSMUSG00000020009","ensembl_havana","12","Ifngr1","protein_coding",NA
